Datetime,Search,Article_Count,Stock_value,Pos_Words,Neg_Words,YouTube_Vids
58:11.1,trans+global+group+inc,0,0.0133,0,0,
13:33.7,trans+global+group+inc,0,0.0134,0,0,
50:59.3,trans+global+group+inc,2,0.0149,0,0,
58:21.0,trans+global+group+inc,2,0.0148,0,0,
13:37.0,trans+global+group+inc,0,0.0145,0,0,
25:45.1,trans+global+group+inc,0,0.0145,0,0,
00:45.9,trans+global+group+inc,1,0.015799999,0,0,
36:17.4,trans+global+group+inc,0,0.015799999,0,0,
49:29.4,trans+global+group+inc,0,0.015799999,0,0,
57:32.9,trans+global+group+inc,0,0.0155,0,0,
44:22.6,trans+global+group+inc,1,0.01555,0,0,
49:57.0,trans+global+group+inc,1,0.01565,0,0,
55:31.3,trans+global+group+inc,1,0.015799999,0,0,
06:25.8,trans+global+group+inc,0,0.016000001,0,0,
55:45.3,trans+global+group+inc,0,0.016000001,0,0,
10:12.1,trans+global+group+inc,0,0.016000001,0,0,
24:46.0,trans+global+group+inc,0,0.016000001,0,0,
33:00.6,trans+global+group+inc,0,0.016000001,0,0,
39:57.4,trans+global+group+inc,0,0.016000001,0,0,
48:39.2,trans+global+group+inc,0,0.016000001,0,0,
56:58.7,trans+global+group+inc,0,0.016000001,0,0,
04:12.8,trans+global+group+inc,0,0.016000001,0,0,
11:31.1,trans+global+group+inc,0,0.016000001,0,0,
19:02.2,trans+global+group+inc,0,0.016000001,0,0,
24:46.4,trans+global+group+inc,0,0.016000001,0,0,
30:31.5,trans+global+group+inc,0,0.016000001,0,0,
37:55.8,trans+global+group+inc,0,0.016000001,0,0,
44:59.9,trans+global+group+inc,0,0.016000001,0,0,
51:58.6,trans+global+group+inc,0,0.016000001,0,0,
58:55.3,trans+global+group+inc,0,0.016000001,0,0,
05:49.1,trans+global+group+inc,0,0.016000001,0,0,
14:00.6,trans+global+group+inc,0,0.016000001,0,0,
25:04.4,trans+global+group+inc,0,0.016000001,0,0,
30:45.8,trans+global+group+inc,0,0.016000001,0,0,
36:31.9,trans+global+group+inc,0,0.016000001,0,0,
43:43.4,trans+global+group+inc,0,0.016000001,0,0,
50:43.5,trans+global+group+inc,0,0.016000001,0,0,
56:26.8,trans+global+group+inc,0,0.016000001,0,0,
04:37.9,trans+global+group+inc,0,0.016000001,0,0,
14:07.4,trans+global+group+inc,0,0.016000001,0,0,
23:05.0,trans+global+group+inc,0,0.016000001,0,0,
31:32.8,trans+global+group+inc,0,0.016000001,0,0,
41:03.1,trans+global+group+inc,0,0.016000001,0,0,
46:46.5,trans+global+group+inc,0,0.016000001,0,0,
52:32.9,trans+global+group+inc,0,0.016000001,0,0,
00:47.8,trans+global+group+inc,0,0.016000001,0,0,
07:41.8,trans+global+group+inc,0,0.016000001,0,0,
15:26.6,trans+global+group+inc,0,0.016000001,0,0,
25:31.3,trans+global+group+inc,0,0.016000001,0,0,
37:16.6,trans+global+group+inc,0,0.016000001,0,0,
35:00.9,trans+global+group+inc,0,0.016000001,0,0,
43:02.0,trans+global+group+inc,0,0.016000001,0,0,
21:59.3,trans+global+group+inc,0,0.016000001,0,0,
42:57.4,trans+global+group+inc,0,0.016000001,0,0,
49:47.0,trans+global+group+inc,0,0.016000001,0,0,
57:08.3,trans+global+group+inc,0,0.016000001,0,0,
02:41.4,trans+global+group+inc,0,0.016000001,0,0,
08:14.5,trans+global+group+inc,0,0.016000001,0,0,
31:02.7,trans+global+group+inc,0,0.016000001,0,0,
36:36.2,trans+global+group+inc,0,0.016000001,0,0,
28:55.0,trans+global+group+inc,0,0.010995,0,0,
50:01.1,trans+global+group+inc,0,0.01095,0,0,
08:12.2,trans+global+group+inc,0,0.0108,0,0,
09:36.9,trans+global+group+inc,0,0.0108,0,0,
18:16.5,trans+global+group+inc,0,0.0107,0,0,
23:49.3,trans+global+group+inc,0,0.0108,0,0,
30:37.3,trans+global+group+inc,0,0.0109,0,0,
36:11.9,trans+global+group+inc,0,0.0109,0,0,
42:54.8,trans+global+group+inc,0,0.01085,0,0,
48:25.4,trans+global+group+inc,0,0.0108,0,0,
56:10.6,trans+global+group+inc,0,0.0108,0,0,
03:27.4,trans+global+group+inc,0,0.0106,0,0,
10:13.7,trans+global+group+inc,0,0.0106,0,0,
15:43.6,trans+global+group+inc,0,0.01085,0,0,
21:14.4,trans+global+group+inc,0,0.01085,0,0,
26:42.3,trans+global+group+inc,0,0.01085,0,0,
32:12.6,trans+global+group+inc,0,0.01085,0,0,
37:41.3,trans+global+group+inc,0,0.01085,0,0,
43:12.8,trans+global+group+inc,0,0.01085,0,0,
